Total_disabled_population_Persons,Total_disabled_population_Males,Total_disabled_population_Females,Main_worker_Persons,Main_worker_Males,Main_worker_Females,Marginal_worker_Less_than_3_months_Persons,Marginal_worker_Less_than_3_months_Males,Marginal_worker_Less_than_3months_Females,Marginal_worker_3to6_months_Persons,Marginal_worker_3to6_months_Males,Marginal_worker_3to6_months_Females,Non_worker_Persons,Non_worker_Males,Non_worker_Females,cluster
0.0021562562,0.0022637215,0.0020200566,0.00011028344,9.112773e-05,0.00017928329,0.00070864154,0.0006948662,0.0007262557,0.00034292036,0.000337518,0.00035062368,0.003273873,0.0041399645,0.0025250032,0
0.013915312,0.014540591,0.013122843,0.00894098,0.008799498,0.009450602,0.021869559,0.02422666,0.018855607,0.0144399395,0.01508259,0.013523579,0.015608232,0.018011644,0.013530111,0
0.0023584939,0.0020474903,0.002752655,0.0011223131,0.0010829194,0.0012642108,0.0027735347,0.0028700994,0.0026500607,0.0015387689,0.0015121745,0.00157669,0.0029540835,0.0027653666,0.0031172582,0
6.257693e-05,5.9778795e-05,6.612324e-05,2.5064419e-05,2.2690438e-05,3.3615615e-05,4.068755e-05,5.4380827e-05,2.3178372e-05,4.050603e-05,4.307074e-05,3.6848985e-05,8.148509e-05,8.830476e-05,7.558843e-05,0
0.12280842,0.121951476,0.1238945,0.1391071,0.13313083,0.16063388,0.15663013,0.1474506,0.1683677,0.17039368,0.1625709,0.18154827,0.108917445,0.106614545,0.11090866,2
0.033903122,0.03242726,0.035773605,0.00265024,0.002002797,0.0049823616,0.010426185,0.009489454,0.011623954,0.008431698,0.007607859,0.009606419,0.050738674,0.058394585,0.04411896,0
0.0716765,0.072986305,0.07001648,0.11678358,0.111889295,0.13441303,0.12022833,0.1123659,0.13028178,0.13951243,0.13273932,0.14917028,0.042916454,0.034842607,0.04989754,2
0.016274963,0.015594993,0.017136743,0.018669555,0.018350892,0.019817395,0.025058446,0.02472515,0.025484622,0.021166243,0.021036532,0.021351196,0.014369553,0.01243278,0.01604419,0
0.000953832,0.0009429171,0.00096766546,0.0010037225,0.0008878549,0.0014210837,0.00091716525,0.00087009324,0.0009773547,0.0012833046,0.0011871862,0.001420361,0.00089276256,0.0009445704,0.00084796676,0
0.059090223,0.057591863,0.060989223,0.0266525,0.026013855,0.028952932,0.05993107,0.059565134,0.060398977,0.03868188,0.039103534,0.038080636,0.07492574,0.08229259,0.06855597,0
0.013408468,0.0142285535,0.012369106,0.00044700602,0.00036505988,0.0007421801,0.0025650111,0.00255892,0.0025727993,0.0013551109,0.001290556,0.0014471603,0.02061848,0.0263747,0.015641345,0
0.026168121,0.027575104,0.024384933,0.019213524,0.018870028,0.02045082,0.034260616,0.0351421,0.033133484,0.027166659,0.027924718,0.026085733,0.028605893,0.033212066,0.02462315,0
0.019345967,0.015628219,0.024057783,0.006909043,0.0066999006,0.0076623834,0.022974905,0.021734204,0.02456135,0.010038131,0.009761396,0.0104327295,0.025491945,0.022483226,0.028093446,0
0.00016766739,0.00015998833,0.0001773997,8.292742e-05,7.886757e-05,9.75512e-05,0.00013053922,0.00012990976,0.00013134412,0.00012197839,0.00012686291,0.00011501351,0.0002094243,0.00022259369,0.00019803732,0
0.30500233,0.30543453,0.3044546,0.32552707,0.3411136,0.2693837,0.12283403,0.14479803,0.094749324,0.18180671,0.19479564,0.16328567,0.31858093,0.30536786,0.33000565,2
0.058538184,0.057522744,0.059825134,0.0044452823,0.0036253463,0.007398731,0.0037313877,0.0039516734,0.0034497145,0.013778955,0.012800624,0.015173966,0.088252746,0.104186855,0.07447525,0
0.1969041,0.20215073,0.19025458,0.28740582,0.3021788,0.23419274,0.09889279,0.11760458,0.07496659,0.14575036,0.15799679,0.12828808,0.16978505,0.14375193,0.19229467,2
0.047644686,0.043856353,0.052445963,0.03169761,0.03328358,0.025984872,0.019462213,0.022329373,0.015796062,0.020371312,0.022061616,0.01796109,0.05861197,0.055571612,0.06124083,0
0.0019153836,0.0019047151,0.0019289047,0.0019783704,0.0020258536,0.0018073338,0.00074763375,0.0009123895,0.0005369656,0.001906085,0.0019366171,0.0018625488,0.0019311556,0.001857432,0.001994901,0
0.057052895,0.054546814,0.06022906,0.06486414,0.0679198,0.05385749,0.02214759,0.02451669,0.019118294,0.033763617,0.035076026,0.03189224,0.058028102,0.04971116,0.06521938,0
0.011594036,0.011098707,0.012221808,0.00089014496,0.00072902185,0.0014705184,0.00070016494,0.0007069508,0.00069148815,0.0028800708,0.0026829157,0.0031611964,0.017457433,0.020049855,0.015215886,0
0.034517515,0.034006726,0.03516488,0.056200728,0.059056073,0.045915637,0.016525928,0.018413953,0.014111766,0.025997046,0.027242634,0.02422095,0.027354972,0.018456453,0.03504911,0
0.010608244,0.009114798,0.012501013,0.007415344,0.0077641555,0.0061589084,0.0047926544,0.005229623,0.0042339163,0.004552786,0.004823923,0.0041661686,0.0128857745,0.010901911,0.014601129,0
0.0003330972,0.00032658168,0.0003413549,0.0003579199,0.0003705495,0.0003124275,0.00012884391,0.00016616365,8.112431e-05,0.00033371444,0.00032655452,0.0003439239,0.00032992382,0.00030293965,0.00035325577,0
0.06262116,0.0596559,0.06637928,0.07230627,0.07507644,0.062327966,0.02483636,0.027344493,0.021629285,0.045713816,0.04558294,0.045900438,0.062117238,0.05263128,0.07031931,0
0.01331229,0.0125151845,0.014322531,0.0013244039,0.0010569353,0.0022878393,0.0010477045,0.0010634473,0.0010275745,0.0044137766,0.0039891335,0.0050192787,0.019771703,0.022279961,0.01760293,0
0.039206907,0.038100373,0.04060931,0.06310003,0.06584088,0.05322736,0.019575799,0.02158919,0.017001336,0.03575946,0.03591865,0.035532475,0.03055152,0.019991364,0.039682396,0
0.009614882,0.008570384,0.010938662,0.007366361,0.007656376,0.0063217133,0.0040433253,0.0044713127,0.0034960713,0.0049306885,0.005102708,0.0046854047,0.011323205,0.009932201,0.012525942,0
0.00048707824,0.0004699574,0.0005087769,0.00051546766,0.00052224606,0.00049105164,0.00016953147,0.00022054448,0.00010430268,0.00060989195,0.0005724493,0.00066328177,0.00047080923,0.0004277538,0.0005080373,0
0.025909087,0.02588562,0.02593883,0.033568133,0.034705393,0.029471667,0.009849778,0.011290064,0.008008128,0.014833492,0.015842201,0.013395165,0.024740947,0.022027174,0.02708742,0
0.0049406686,0.0049236775,0.0049622026,0.00041893387,0.00034218645,0.0006953819,0.00035601607,0.00036253885,0.00034767558,0.0009882551,0.0009420746,0.0010541044,0.007451521,0.008919666,0.0061820853,0
0.0181535,0.018149469,0.018158609,0.030420328,0.03152745,0.026432421,0.008373159,0.009604258,0.0067989896,0.012315675,0.013232898,0.011007798,0.014217186,0.01006409,0.017808177,0
0.002616111,0.0026138544,0.0026189708,0.0024686304,0.0025739009,0.0020894413,0.0010392279,0.001229611,0.0007957908,0.0013486667,0.0014604897,0.0011892173,0.0028922227,0.00288538,0.0028981392,0
0.00019880668,0.00019861771,0.00019904619,0.00026024028,0.00026185496,0.00025442409,8.13751e-05,9.365587e-05,6.567206e-05,0.00018089626,0.00020673955,0.00014404605,0.00018001701,0.000158039,0.0001990204,0
0.052250057,0.05784212,0.045162767,0.06148359,0.06673185,0.042579122,0.02344281,0.030846015,0.013976559,0.026015459,0.03281442,0.016320752,0.052807666,0.056871172,0.049294144,0
0.004992729,0.005388498,0.0044911383,0.00026869058,0.00025032676,0.0003348379,0.0002898988,0.00036556003,0.00019315312,0.0005270387,0.000563052,0.00047568692,0.007655732,0.009924242,0.0056942557,0
0.035371143,0.04061402,0.028726406,0.054949515,0.059625164,0.038107585,0.019038383,0.025293129,0.011040632,0.021965776,0.027936466,0.013452114,0.02963386,0.030174961,0.029165993,0
0.011729445,0.011668073,0.011807227,0.006094091,0.006669708,0.0040206914,0.0040416303,0.0050997133,0.0026886913,0.0034103317,0.004181777,0.0023103198,0.015358739,0.01660117,0.014284465,0
0.00015674067,0.00017153044,0.00013799634,0.0001712974,0.00018664716,0.000116006835,7.289853e-05,8.761356e-05,5.408287e-05,0.00011231218,0.00013312775,8.2631064e-05,0.0001593382,0.00017079833,0.00014942915,0
0.01790282,0.01863417,0.016975917,0.008713538,0.009139123,0.0071805594,0.0050961156,0.0066405036,0.0031213542,0.00613114,0.006903065,0.0050304453,0.023601972,0.0275833,0.0201595,0
0.004142496,0.0043169498,0.003921396,0.00017101095,0.00013815549,0.00028935797,0.00017461741,0.00020845984,0.00013134412,0.00050080183,0.00048082607,0.00052928546,0.0063674357,0.007992528,0.004962293,0
0.012667279,0.013280966,0.011889501,0.007902596,0.008335076,0.0063447827,0.004548529,0.006021166,0.002665513,0.0051658996,0.005929666,0.004076838,0.015851282,0.01818497,0.013833447,0
0.0010124559,0.00095272454,0.0010881586,0.00059252285,0.0006161186,0.0005075299,0.00035262544,0.00038368697,0.00031290803,0.0004151868,0.00043462293,0.00038747268,0.001283024,0.0012924835,0.0012748447,0
